Nazwa kierunku,Poziom kształcenia,Profil kształcenia,Tytuł zawodowy,Forma kształcenia,Dyscyplina (Obszar/Dziedzina),Instytucja/jednostka
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej"
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej"
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Jagielloński w Krakowie; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Jagielloński w Krakowie; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Jagielloński w Krakowie; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
